setting,config,seed,acc,ece,nll,brier,weight_entropy,corr_weight_correct,missing_prototype_rate
f6r,uniform,0,0.349816,0.043315,2.534277,0.791887,1.7918,-0.0,0.0
f6r,entropy,0,0.349314,0.031482,2.532231,0.79386,1.7201,0.075,0.0
f6r,joint|mask,0,0.326822,0.029841,2.634956,0.809659,1.1875,0.0933,0.0
f6r,uniform,1,0.339882,0.031054,2.557262,0.798517,1.7918,-0.0,0.0
f6r,entropy,1,0.335417,0.028963,2.577836,0.802069,1.7201,0.075,0.0
f6r,joint|mask,1,0.316107,0.042533,2.661525,0.818525,1.1875,0.0933,0.0
f6r,uniform,2,0.33737,0.035181,2.57942,0.803441,1.7918,-0.0,0.0
f6r,entropy,2,0.341165,0.032531,2.562716,0.800658,1.7201,0.075,0.0
f6r,joint|mask,2,0.305391,0.048277,2.735918,0.82858,1.1875,0.0933,0.0
a60m,uniform,0,0.327157,0.059323,2.681033,0.817095,1.7918,0.0,0.0
a60m,entropy,0,0.316609,0.037659,2.687316,0.819041,1.7015,0.0723,0.0
a60m,joint|mask,0,0.297801,0.026648,2.782057,0.835772,1.1582,0.0786,0.0
a60m,uniform,1,0.315493,0.056208,2.735019,0.825006,1.7918,0.0,0.0
a60m,entropy,1,0.310358,0.031719,2.726472,0.82375,1.7015,0.0723,0.0
a60m,joint|mask,1,0.294229,0.028604,2.81823,0.840426,1.1582,0.0786,0.0
a60m,uniform,2,0.310805,0.052176,2.73824,0.827334,1.7918,0.0,0.0
a60m,entropy,2,0.308461,0.02953,2.74375,0.828156,1.7015,0.0723,0.0
a60m,joint|mask,2,0.293615,0.030922,2.807666,0.837923,1.1582,0.0786,0.0
a60m,sizeprop,0,0.320237,0.045813,2.701004,0.818129,1.6668,0.0296,0.0
a60m,sizeprop,1,0.306675,0.038373,2.758351,0.831353,1.6668,0.0296,0.0
a60m,sizeprop,2,0.317837,0.04401,2.71685,0.820243,1.6668,0.0296,0.0
